city,state,lga,population2026,growthRate,note
"Mayo-Belwa","Adamawa","Mayo Belwa",262534,0.027429801389296626,""
"Essien Udim","Akwa Ibom","Essien Udim",262094,0.015348736305456079,""
"Ahoada East","Rivers","Ahoada East",261946,0.02296682482963308,""
"Oyi","Anambra","Oyi",261895,0.0223843598361968,""
"Ife East","Osun","Ife East",261422,0.01645476107158128,""
"Umu-Nneochi","Abia","Umu Nneochi",260887,0.0237567348027925,""
"Anambra West","Anambra","Anambra West",260469,0.02237722162909006,""
"Auyo","Jigawa","Auyo",260390,0.0344471414553531,""
"Mubi North","Adamawa","Mubi North",260302,0.027428133868554916,""
"Taura","Jigawa","Taura",259588,0.03444593216016312,""
"Danja","Katsina","Danja",259353,0.036968177619978615,""
"Agaie","Niger","Agaie",259329,0.03430410644204085,""
"Afikpo South","Ebonyi","Afikpo South",259294,0.02522596613868755,""
"Shanono","Kano","Shanono",259099,0.03157647471015412,""
"Wase","Plateau","Wase",259036,0.02442458277307602,""
"Sapele","Delta","Sapele",258366,0.019883234844806585,""
"Kibiya","Kano","Kibiya",258204,0.03159047052102104,""
"Kuje","Federal Capital Territory","Kuje",257764,0.04995519348268829,""
"Ahiazu-Mbaise","Imo","Ahiazu Mbaise",257759,0.02078325300679973,""
"Afikpo North","Ebonyi","Afikpo North",257728,0.025207744111762187,""
"Obi","Benue","Obi",256377,0.027513706755586842,"Name also exists as an LGA in Nasarawa; source CSV had two unlabeled rows for 'Obi' so this state/population pairing is our best estimate, not confirmed."
"Madobi","Kano","Madobi",256374,0.03157403420956273,""
"Ibiono Ibom","Akwa Ibom","Ibiono-Ibom",255833,0.015359398006850267,""
"Nasarawa-Eggon","Nasarawa","Nasarawa Eggon",255369,0.027509535995364764,""
"Shelleng","Adamawa","Shelleng",255194,0.027446180604484338,""
"Ezinihitte","Imo","Ezinihitte",254735,0.020801942743564172,""
"Jaba","Kaduna","Jaba",254004,0.024684833693043196,""
"Kaugama","Jigawa","Kaugama",253992,0.03446000708668162,""
"Gombi","Adamawa","Gombi",253963,0.027437383941322446,""
"Akuku Toru","Rivers","Akuku Toru",253736,0.022972286504487238,""
"Konduga","Borno","Konduga",253595,0.02415866695205815,""
"Gwiwa","Jigawa","Gwiwa",253543,0.03447248810660408,""
"Akamkpa","Cross River","Akamkpa",253285,0.026642400856058845,""
"Ovia North East","Edo","Ovia North East",253020,0.024691908003709573,""
"Owan East","Edo","Owan East",251932,0.02470531770371509,""
"Miga","Jigawa","Miga",251816,0.0344620769265529,""
"Ishielu","Ebonyi","Ishielu",251116,0.025222709420343215,""
"Dutsi","Katsina","Dutsi",249867,0.036960337980004976,""
"Gbako","Niger","Gbako",249032,0.03430631468775447,""
"Shanga","Kebbi","Shanga",248315,0.03403833581104432,""
"Isu","Imo","Isu",247994,0.02078668335089562,""
"Ika South","Delta","Ika South",247786,0.019909528337223037,""
"Jalingo","Taraba","Jalingo",247158,0.02871056355614754,""
"Sanga","Kaduna","Sanga",246736,0.024689460984837375,""
"Ekwusigo","Anambra","Ekwusigo",246715,0.022390100782389677,""
"Isiala-Ngwa North","Abia","Isiala Ngwa North",246513,0.023776101799092952,""
"Irele","Ondo","Irele",246478,0.02718854447102359,""
"Ose","Ondo","Ose",246477,0.027188657778814962,""
"Abakaliki","Ebonyi","Abakaliki",246370,0.02523022633547911,""
"Ayamelum","Anambra","Ayamelum",246277,0.02239261384157465,""
"Ngaski","Kebbi","Ngaski",246250,0.03402954490102705,""
"Bade","Yobe","Bade",246124,0.028684156632296842,""
"Ikere","Ekiti","Ikere",246005,0.025537875345486682,""
"Warawa","Kano","Warawa",245639,0.03159384501671458,""
"Irepodun","Osun","Irepodun",245298,0.02572487099930587,"Name also exists as an LGA in Kwara; source CSV had two unlabeled rows for 'Irepodun' so this state/population pairing is our best estimate, not confirmed."
"Aiyekire (Gbonyin)","Ekiti","Gbonyin",245130,0.025549842483777674,""
"Abi","Cross River","Abi",244177,0.026643962327615123,""
"Odogbolu","Ogun","Odogbolu",244039,0.033748178521807004,""
"Ohaozara","Ebonyi","Ohaozara",244032,0.025211001928320265,""
"Gubio","Borno","Gubio",243925,0.024167712842561473,""
"Kebbe","Sokoto","Kebbe",243692,0.03471087012827101,""
"Jamaare","Bauchi","Jama'are",242529,0.036905133456179406,""
"Nnewi North","Anambra","Nnewi North",242005,0.022382101078548544,""
"Bunza","Kebbi","Bunza",241353,0.0340523981919838,""
"Nkanu East","Enugu","Nkanu East",241225,0.02282893983658485,""
"Kurfi","Katsina","Kurfi",241199,0.03696904557179703,""
"Ideato South","Imo","Ideato South",240936,0.0207898182003059,""
"Moba","Ekiti","Moba",240811,0.025543730543027943,""
"Fika","Yobe","Fika",240756,0.02869155404394963,""
"Opobo-Nkoro","Rivers","Opobo-Nkoro",240702,0.022970968605634523,""
"Ibadan North West","Oyo","Ibadan North West",240644,0.022559330316357595,""
"Ezza North","Ebonyi","Ezza North",240505,0.025218573760918073,""
"Mkpat Enin","Akwa Ibom","Mkpat-Enin",240405,0.015343875120368944,""
"Etsako East","Edo","Etsako East",240019,0.02469752469752473,""
"Doma","Nasarawa","Doma",239216,0.027520413729709814,""
"Makarfi","Kaduna","Makarfi",238813,0.024706614318508402,""
"Ngor-Okpala","Imo","Ngor Okpala",238220,0.020786822585690423,""
"Katcha","Niger","Katcha",237361,0.03430680471310055,""
"Warji","Bauchi","Warji",237316,0.03689398441050029,""
"Takum","Taraba","Takum",237088,0.028719697659989052,""
"Anambra East","Anambra","Anambra East",236868,0.022379717113469644,""
"Ideato North","Imo","Ideato North",235739,0.020806810603895443,""
"Matazu","Katsina","Matazu",235174,0.036954403354600984,""
"Donga","Taraba","Donga",234516,0.02872332959011792,""
"Eket","Akwa Ibom","Eket",234469,0.015360164904166806,""
"Dan Musa","Katsina","Dan Musa",233907,0.03695970208804367,""
"Fakai","Kebbi","Fakai",233907,0.03403504739001284,""
"Isi-Uzo","Enugu","Isi Uzo",233473,0.022851435005279086,""
"Ori Ire","Oyo","Ori Ire",233428,0.02256021167173361,""
"Oruk Anam","Akwa Ibom","Oruk Anam",233087,0.015359751874229444,""
"Madagali","Adamawa","Madagali",232233,0.02743871415867738,""
"Ife Central","Osun","Ife Central",231746,0.01645211517796441,""
"Igbo-Eze South","Enugu","Igbo Eze South",231494,0.02283883795426922,""
"Nkanu West","Enugu","Nkanu West",231486,0.02283060635651446,""
